_messagetimems,_messagetime,_,duration,ip,revProxyPath,_raw
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",69.61764ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 69.61764ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",6.671318ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 6.671318ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",6.801715ms,10.130.162.234,/api/streamer/getIceCandidate?peerid=UvsKORB&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/getIceCandidate?peerid=UvsKORB&options= and ip 10.130.162.234 is 6.801715ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:49.000 +0530,",""time"":""2023-04-11T17:02:49Z""}}",90.883846ms,10.130.162.234,/api/streamer/video?peerid=&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/video?peerid=&options= and ip 10.130.162.234 is 90.883846ms"",""time"":""2023-04-11T17:02:49Z""}}"
1.68E+12,11/04/2023 22:32:46.000 +0530,",""time"":""2023-04-11T17:02:46Z""}}",41.996665ms,10.130.162.234,/api/streamer/hangup?peerid=VNoYCOZ&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/hangup?peerid=VNoYCOZ&options= and ip 10.130.162.234 is 41.996665ms"",""time"":""2023-04-11T17:02:46Z""}}"
1.68E+12,11/04/2023 22:30:16.000 +0530,",""time"":""2023-04-11T17:00:16Z""}}",161.284813ms,10.130.162.234,/api/v1.0/video/stop,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/v1.0/video/stop and ip 10.130.162.234 is 161.284813ms"",""time"":""2023-04-11T17:00:16Z""}}"
1.68E+12,11/04/2023 22:30:00.000 +0530,",""time"":""2023-04-11T17:00:00Z""}}",34.513984ms,10.130.162.234,/api/v1.0/video/start,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/v1.0/video/start and ip 10.130.162.234 is 34.513984ms"",""time"":""2023-04-11T17:00:00Z""}}"
1.68E+12,11/04/2023 22:26:22.000 +0530,",""time"":""2023-04-11T16:56:22Z""}}",9.247493ms,10.130.162.234,/v1.0/api/system/browser,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /v1.0/api/system/browser and ip 10.130.162.234 is 9.247493ms"",""time"":""2023-04-11T16:56:22Z""}}"
1.68E+12,11/04/2023 22:25:32.000 +0530,",""time"":""2023-04-11T16:55:32Z""}}",86.187556ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=VNoYCOZ&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=VNoYCOZ&options= and ip 10.130.162.234 is 86.187556ms"",""time"":""2023-04-11T16:55:32Z""}}"
1.68E+12,11/04/2023 22:25:32.000 +0530,",""time"":""2023-04-11T16:55:32Z""}}",71.886675ms,10.130.162.234,/api/streamer/addIceCandidate?peerid=VNoYCOZ&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=VNoYCOZ&options= and ip 10.130.162.234 is 71.886675ms"",""time"":""2023-04-11T16:55:32Z""}}"
